% Moku:SpectrumAnalyzer
% Ch 1 - DC coupling, 50 Ohm impedance, 20 dB attenuation
% Ch 2 - DC coupling, 50 Ohm impedance, 20 dB attenuation
% Start freq 0 Hz, stop freq 1.00 kHz, RBW 1.569 Hz (Minimum mode), Hanning window, Video filter off, 32 averages
% Internal 10 MHz clock
% Acquired 2019-02-04 T 15:40:08 +0900
% Frequency (Hz), Ch 1 (V/rtHz), Ch 2 (V/rtHz)
4.698467e+02, 4.172619e-05, 2.971415e-06
4.708722e+02, 2.428584e-05, 2.633520e-06
4.718976e+02, 2.122681e-05, 2.729881e-06
4.729231e+02, 2.358628e-05, 2.643619e-06
4.739486e+02, 2.508016e-05, 2.391145e-06
4.749740e+02, 2.327644e-05, 2.556305e-06
4.759995e+02, 3.153363e-05, 2.791948e-06
4.770249e+02, 3.633076e-05, 2.550835e-06
4.780504e+02, 3.225813e-05, 2.565983e-06
4.790758e+02, 3.938349e-05, 2.878631e-06
4.801013e+02, 5.105756e-05, 2.624473e-06
4.811267e+02, 4.369070e-05, 2.085861e-06
4.821522e+02, 3.855689e-05, 2.723149e-06
4.831777e+02, 3.389414e-05, 3.151093e-06
4.842031e+02, 3.215457e-05, 2.645723e-06
4.852286e+02, 3.365600e-05, 2.878841e-06
4.862540e+02, 2.858047e-05, 2.818248e-06
4.872795e+02, 2.742537e-05, 2.630575e-06
4.883049e+02, 2.821402e-05, 2.467729e-06
